K,Alpha,Eta,Run_Index,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
10,0.1,0.01,1,-6.916121054938893,0.02634962746457707,0.4750156044531284,0.03263904236207397,0.48615625431410114,1008.4008668463518,4.427095158182927,0.9011871422186591,1260,Yes,5.594884395599365
10,0.1,0.01,2,-6.937956590138717,0.028328556868958233,0.49377842716871,0.03330338331514241,0.5038589427135632,1030.6619968291454,4.469890676272053,0.8935408944713528,1300,Yes,5.560611248016357
10,0.1,0.01,3,-6.896996990100994,0.034200875181992225,0.4978858704148482,0.04309453131701391,0.5123581032690775,989.2993745368561,4.436845317163416,0.8920370202770039,1500,Yes,6.352429628372192
10,0.1,0.01,4,-6.925807877254628,0.019484990642788653,0.5110060158390951,0.023838616436300687,0.5267759265724984,1018.2165314119045,4.459294831028901,0.9009540604780785,1190,Yes,5.289489269256592
10,0.1,0.01,5,-6.909348405875723,0.03825691446148421,0.5263681838423384,0.04960618222752459,0.5408562770390823,1001.5943965944107,4.482467901012831,0.8804060447213138,1120,Yes,4.949090957641602
20,0.1,0.01,1,-6.946591591736734,0.03928507538594344,0.5165306135322323,0.04816164696684566,0.5340327861102696,1039.6003004126305,4.035090721229774,0.9273966421921882,1120,Yes,5.8603644371032715
20,0.1,0.01,2,-6.92364114493401,0.03776779224673421,0.5216238710920296,0.04829545672931328,0.5452713074958673,1016.0127171439005,4.061464382428343,0.9389002043737076,1320,Yes,6.745973825454712
20,0.1,0.01,3,-6.938474190967847,0.04126520926039366,0.5202028223624718,0.05074422528902067,0.5324280553740155,1031.1956064197268,4.052355145824723,0.9269186849314323,1470,Yes,7.2875096797943115
20,0.1,0.01,4,-6.924553031422002,0.029658656587313054,0.4765143118989734,0.037390690067398785,0.5008278694714484,1016.9396279667902,4.079400682466361,0.9244568556596877,1270,Yes,6.391960382461548
20,0.1,0.01,5,-6.950270136703825,0.03069005168786045,0.5022322923571054,0.037246681144807274,0.5246214303596288,1043.4315592742169,3.939464278269278,0.931223975642024,1120,Yes,5.780095815658569
